,plant_id,name_e,family,genus,species,eatr,medr,care,eat,med,others,name_k
134,134,Heartsease,Violaceae,Viola,tricolor,2,6,FullyHardy|MoistSoil|Semi|Fullsun,Tea,Anodyne|Antiasthmatic|Antiinflammatory|Antiseborrheic|Antispasmodic|Cardiac|Demulcent|Depurative|Diaphoretic|Diuretic|Eczema|Emetic|Emollient|Epilepsy|Expectorant|Homeopathy|Laxative|Vulnerary,Dye|Litmus,삼색제비꽃
135,135,Asthma Weed,Euphorbiaceae,Euphorbia,hirta,1,6,Welldrainedsoil|MoistSoil|Fullsun,,Anodyne|Antiasthmatic|Antipruritic|Carminative|Depurative|Diuretic|Dysentery|Febrifuge|Galactogogue|Purgative|VD|Vermifuge|Warts,,혹대극
136,136,White Trumpet Lily,Liliaceae,Lilium,longiflorum,3,4,FullyHardy|MoistSoil|Semi|Fullsun,,Antiasthmatic|Antitussive|Expectorant|Sedative,Essential,백합
137,137,Sweet Flag,Araceae,Acorus,calamus,3,8,FullyHardy|WetSoil|WaterPlants|Fullsun,Condiment,Abortifacient|Anodyne|Antirheumatic|Aphrodisiac|Aromatic|Carminative|Diaphoretic|Emmenagogue|Epilepsy|Febrifuge|Hallucinogenic|Homeopathy|Odontalgic|Sedative|Stimulant|Stomachic|Tonic|Vermifuge,Basketry|Incense|Insecticide|Repellent|Strewing|Thatching|Weaving,창포
138,138,Bugle,Lamiaceae|Labiatae,Ajuga,reptans,2,6,FullyHardy|Welldrainedsoil|MoistSoil|WetSoil|Fullshade|Semi|Fullsun,,Aromatic|Astringent|Bitter|Homeopathy,,아주가
139,139,Dill,Apiaceae|Umbelliferae,Anethum,graveolens,4,6,FrostHardy|MoistSoil|Fullsun,Condiment|Tea,Antihalitosis|Aromatic|Carminative|Diuretic|Galactogogue|Stimulant|Stomachic,Essential|Insecticide,딜
140,140,Caraway,Apiaceae|Umbelliferae,Carum,carvi,4,6,MoistSoil|Semi|Fullsun,Condiment|Tea,Antiseptic|Antispasmodic|Aromatic|Carminative|Digestive|Emmenagogue|Expectorant|Galactogogue|Ophthalmic|Parasiticide|Stimulant,Essential|Parasiticide,캐러웨이
141,141,Centaury,Gentianaceae,Centaurium,erythraea,1,6,Welldrainedsoil|MoistSoil|Semi|Fullsun,Condiment,Appetizer|Aromatic|Bach|Bitter|Cholagogue|Diaphoretic|Digestive|Emetic|Febrifuge|Hepatic|Homeopathy|Poultice|Stomachic|Tonic,Dye,센토리
142,142,Chop-Suey Greens,Asteraceae|Compositae,Chrysanthemum,coronarium,3,4,MoistSoil|Semi|Fullsun,,Aromatic|Bitter|Expectorant|Purgative|Stomachic|VD,Companion|Repellent,쑥갓
143,143,Coriander,Apiaceae|Umbelliferae,Coriandrum,sativum,4,8,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Condiment|Oil,Antidiarrhoeal|Antihalitosis|Appetizer|Aromatherapy|Aromatic|Carminative|Depurative|Expectorant|Narcotic|Stimulant|Stomachic,Essential|Fuel|Fungicide|Insecticide|Oil|Repellent,고수
144,144,Nut Grass,Cyperaceae,Cyperus,rotundus,3,6,MoistSoil|WetSoil|Fullsun,,Analgesic|Antibacterial|Antibiotic|Antispasmodic|Antitussive|Aromatic|Astringent|Carminative|Contraceptive|Diaphoretic|Diuretic|Emmenagogue|Lithontripic|Sedative|Skin|Stimulant|Stomachic|Tonic|Vermifuge,Essential|Weaving,향부자
145,145,Checkerberry,Ericaceae,Gaultheria,procumbens,4,6,FullyHardy|Welldrainedsoil|MoistSoil|Fullshade|Semi,Condiment|Tea,Analgesic|Antiinflammatory|Antirheumatic|Aromatic|Astringent|Carminative|Diuretic|Emmenagogue|Stimulant|Tonic,Essential,가울테리아
146,146,Water Avens,Rosaceae,Geum,rivale,3,4,FullyHardy|MoistSoil|WetSoil|Semi|Fullsun,Chocolate|Condiment|Drink,Antidiarrhoeal|Antiinflammatory|Antiseptic|Aromatic|Astringent|Diaphoretic|Febrifuge|Stomachic|Styptic|Tonic,Repellent,풍경뱀무
147,147,Wood Avens,Rosaceae,Geum,urbanum,3,6,FullyHardy|MoistSoil|Semi|Fullsun,Condiment|Drink,Antidiarrhoeal|Antiinflammatory|Antiseptic|Aromatic|Astringent|Diaphoretic|Febrifuge|Skin|Stomachic|Styptic|Tonic,Repellent|Tannin,허브베니트
148,148,Levant cotton,Malvaceae,Gossypium,herbaceum,3,6,Tender|MoistSoil|Semi|Fullsun,Coffee|Oil,Abortifacient|Antibacterial|Antiinflammatory|Antiviral|Aromatic|Astringent|Dysentery|Febrifuge|Skin,Dye|Fertilizer|Fibre|Oil|Paper|Soap|String|Stuffing,고시폴|초면
149,149,Levant cotton,Malvaceae,Gossypium,herbaceum,3,6,Tender|MoistSoil|Semi|Fullsun,Coffee|Oil,Abortifacient|Antibacterial|Antiinflammatory|Antiviral|Aromatic|Astringent|Dysentery|Febrifuge|Skin,Dye|Fertilizer|Fibre|Oil|Paper|Soap|String|Stuffing,고시폴|초면
